;CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON;Zonas;TIPO
80;51281788;M V SERVICOS;8219999;DOM LUIS ,1200 - ALDEOTA ,FORTALEZA - CE;14353;-3.7362805;-38.4907015;Zona_68;servicos consultoria assessoria
81;13797748;PRO-AUDIO REPRESENTACOES;4619200;GENERAL SAMPAIO ,1193 - CENTRO ,FORTALEZA - CE;12851;-3.729036;-38.5310985;Zona_227;representacoes representacao comercio
82;7165359;DEPOSITO TRES IRMAOS;4744099;FRANCISCANO ,953 - BOM JARDIM ,FORTALEZA - CE;8219;-3.8001436;-38.6062416;Zona_283;construcao construcoes deposito
83;42832852;HF CLINIC;8630503;SANTOS DUMONT ,6740 - COCO ,FORTALEZA - CE;5470;-3.7448947;-38.47282039022944;Zona_247;servicos medicos clinica
84;46995034;HADASSA MODAS;1412601;ACUCENA ,91 - ALVARO WEYNE ,FORTALEZA - CE;4285;-3.7200745;-38.567679;Zona_28;confeccoes jeans moda
85;36543139;INNOVA ART AND SCIENCIES;8599604;GENERAL PIRAGIBE ,546 - PARQUELANDIA ,FORTALEZA - CE;5933;-3.73925025;-38.55783816681917;Zona_101;consultoria treinamentos servicos
86;31806941;CLOUT;4772500;EDILSON BRASIL SOARES ,1751 - EDSON QUEIROZ ,FORTALEZA - CE;12240;-3.7883854;-38.47012648798082;Zona_212;cosmeticos distribuidora perfumaria
87;14936246;FIOS E FORMAS;9602501;CORONEL ALEXANDRINO ,712 - MONTESE ,FORTALEZA - CE;10137;-3.76557425;-38.552252915447326;Zona_228;beleza studio barbearia
88;26594241;4S EMPREENDIMENTOS IMOBILIARIOS;6810201;OLIVEIRA PAIVA ,1964 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;12987;-3.7964194;-38.48865201485615;Zona_100;empreendimentos imoveis imobiliarios
89;27545670;BOUTIQUE LUANA ARAGAO;4781400;ANTONIO FIUZA ,468 - ITAOCA ,FORTALEZA - CE;1505;-3.772089;-38.5529169;Zona_304;moda confeccoes modas
90;49819093;DROGARIA NORDESTE;4771701;PRESIDENTE COSTA E SILVA ,1711 - JANGURUSSU ,FORTALEZA - CE;13347;-3.8293629;-38.5284382;Zona_311;farmacia farma drogaria
91;13374375;AUTONOMY REABILITACAO E ATIVIDADE FISICA;9313100;PERU ,886 - PARANGABA ,FORTALEZA - CE;9659;-3.778761;-38.5525781;Zona_14;academia fitness pilates
92;51110528;XM VARIEDADES;4781400;LIBERATO BARROSO ,307 - CENTRO ,FORTALEZA - CE;1561;-3.72784565;-38.53052104189234;Zona_227;moda confeccoes modas
93;19751316;MARTEL PROJETOS;8211300;JOSE VILAR ,1707 - ALDEOTA ,FORTALEZA - CE;704;-3.7395952;-38.5056717;Zona_207;servicos consultoria coworking
94;17681028;SAIADEJ ASSESSORIA E NEGOCIOS;7020400;JAIME BENEVOLO ,1465 - FATIMA ,FORTALEZA - CE;6415;-3.7456962;-38.529666439050494;Zona_19;consultoria servicos empresarial
95;8961857;AUTO CENTER J A OLIVEIRA;4520001;OSCAR FRANCA ,3584 - BOM JARDIM ,FORTALEZA - CE;9885;-3.7914151;-38.6011582;Zona_166;auto car center
96;10229707;DECADA PARTICIPACOES;4110700;SANTOS DUMONT ,2456 - ALDEOTA ,FORTALEZA - CE;8081;-3.7349787;-38.5029247;Zona_173;empreendimentos incorporacoes ltda
97;22330966;SQUID;1412601;SANTOS DUMONT ,2122 - ALDEOTA ,FORTALEZA - CE;4210;-3.7329008;-38.509812246842685;Zona_173;confeccoes jeans moda
98;16619457;AUTOSEAL;4530703;NELSON MACHADO ,382 - AMADEU FURTADO ,FORTALEZA - CE;9023;-3.7427953;-38.55757364686223;Zona_101;pecas auto servicos
99;18241436;SERIFLEX;1412601;PEDRO I ,978 - CENTRO ,FORTALEZA - CE;4197;-24.5034245;-47.8436169;;confeccoes jeans moda
100;47167591;FJ AUTO CENTER E GNV;4520001;FREI JOSE MARIA ,426 - PRESIDENTE KENNEDY ,FORTALEZA - CE;10093;-3.73650795;-38.57514038856861;Zona_73;auto car center
101;36248093;JJ VARIEDADES;4781400;PAU BRANCO ,857 - DOM LUSTOSA ,FORTALEZA - CE;1160;-3.7517482;-38.5857456;Zona_97;moda confeccoes modas
102;21680982;FD INDUSTRIA E COMERCIO DE ROUPAS;1412601;PORTO FELIZ ,188 - SAO BENTO ,FORTALEZA - CE;4237;-3.862753;-38.4908888;Zona_218;confeccoes jeans moda
103;24942775;PLASTFESTAS;4789099;CASTELO DE CASTRO ,573 - JANGURUSSU ,FORTALEZA - CE;11641;-3.8343363;-38.5213415;Zona_138;embalagens festas casa
104;43268373;DNA CONSULTORIA;7490104;SANTOS DUMONT ,6740 - COCO ,FORTALEZA - CE;11456;-3.7448947;-38.47282039022944;Zona_247;negocios saude gestao
105;30065816;AGILISYS SISTEMAS;4752100;FRANCISCO SA ,3667 - CARLITO PAMPLONA ,FORTALEZA - CE;13608;-3.717578;-38.556842;Zona_308;cell celular imports
106;21264843;JAZZ CAROLINA SUCUPIRA;4110700;CAROLINA SUCUPIRA ,480 - ALDEOTA ,FORTALEZA - CE;8110;-3.7418733;-38.49866081377005;Zona_207;empreendimentos incorporacoes ltda
107;7298821;FARMACIAS ALDESUL;4771701;VISCONDE DE MAUA ,85 - MEIRELES ,FORTALEZA - CE;13357;-3.7269223;-38.4963408;;farmacia farma drogaria
108;11448539;G7 MOTOS;4541206;GENERAL CLARINDO DE QUEIROZ ,1072 - CENTRO ,FORTALEZA - CE;16478;-3.7322135;-38.5317132;Zona_227;motos moto pecas
109;17047293;JOER IMOVEIS;6822600;BARAO DO RIO BRANCO ,1071 - CENTRO ,FORTALEZA - CE;13707;-3.72775075;-38.528370395011024;Zona_227;imoveis imobiliaria gestao
110;11857032;TRIIIO IMOBILIARIA;6821801;BEIRA MAR ,3960 - MUCURIPE ,FORTALEZA - CE;9480;-3.72391025;-38.485652847754245;;imoveis imobiliaria imobiliarios
111;11067766;MERCEARIA OSSIAM;4712100;MAJOR VERISSIMO ,320 - ELLERY ,FORTALEZA - CE;3794;-3.72218505;-38.562772013766256;Zona_308;mercadinho comercial mercearia
112;32004230;HOT MANIA SEXY;4789099;DEMETRIO MENEZES ,3619 - PADRE ANDRADE ,FORTALEZA - CE;11654;-3.7357;-38.5840481;Zona_295;embalagens festas casa
113;49174473;SALT PEPPER BURGER;5620104;PROFESSOR NOGUEIRA ,125 - PARQUELANDIA ,FORTALEZA - CE;14877;-3.7338791;-38.5497396;Zona_164;marmitaria pizzaria galeteria
114;40810058;DUO EMPREENDIMENTOS IMOBILIARIOS;4120400;MARIA MARGARIDA ,1021 - PRESIDENTE KENNEDY ,FORTALEZA - CE;3025;-3.7331111;-38.5655791;Zona_196;construcoes engenharia construtora
115;36314479;SLAV SERVICOS;8211300;BENJAMIN MOURA ,280 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;127;-3.7984682;-38.4975515;Zona_244;servicos consultoria coworking
116;39987883;SEMPRE SOLUCOES TECNOLOGIAS;6209100;MILAGRES ,18 - ALDEOTA ,FORTALEZA - CE;8860;-3.7362426;-38.5141496;Zona_335;tecnologia consultoria servicos
117;15513194;CHOCOPLAST;4789099;CASTRO E SILVA ,428 - CENTRO ,FORTALEZA - CE;11711;-3.7230844;-38.52974;Zona_162;embalagens festas casa
118;32858791;MERCADINHO JA;4712100;MOURA MATOS ,1717 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;3436;-3.810284;-38.544674;Zona_292;mercadinho comercial mercearia
119;50997164;ART VIP;4755502;VICENTE LINHARES ,521 - ALDEOTA ,FORTALEZA - CE;16240;-3.7421436;-38.4997104;Zona_207;variedades aviamentos presentes
120;38204373;MERCADINHO ESPERANCA;4755502;HUMAITA ,26 - PRAIA DO FUTURO II ,FORTALEZA - CE;16191;-3.7713125;-38.4413172;Zona_88;variedades aviamentos presentes
121;31646831;CASA SEM MEDIDA;5611201;JOSE VILAR ,3040 - DIONISIO TORRES ,FORTALEZA - CE;2523;-3.7497097;-38.5092834;Zona_315;restaurante pizzaria pizza
122;34264041;PIZZARIA PITTSSA;5611201;JOSE CANDIDO ,274 - MONTE CASTELO ,FORTALEZA - CE;2276;-3.7287016;-38.550965;Zona_164;restaurante pizzaria pizza
123;9347601;BRAVAFORTE;8211300;QUINZE DE NOVEMBRO ,315 - MONTESE ,FORTALEZA - CE;16;-3.768592;-38.5568315;Zona_187;servicos consultoria coworking
124;14028976;CONDOMINIO MAISON KARINE;8112500;SILVA JATAHY ,1325 - MEIRELES ,FORTALEZA - CE;7537;-3.7304409;-38.4893583;Zona_347;condominio edificio residencial
125;18316996;PANIFICADORA PASTA MADRE;1091102;CLAUDIO BRASIL ,42 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;14230;-3.76861075;-38.49658811388889;Zona_61;panificadora pao confeitaria
126;38710259;PLANETA TUR VIAGENS E TURISMO;7911200;PEDRO DANTAS ,110 - DIAS MACEDO ,FORTALEZA - CE;15003;-3.7863294;-38.51869340445652;Zona_236;turismo viagens agencia
127;19127111;PIZZARIA & GALETERIA + SABOR;5611201;GUARAREMA ,408 - GRANJA LISBOA ,FORTALEZA - CE;1932;-3.7799986;-38.6174281;Zona_104;restaurante pizzaria pizza
128;41875437;KIKA RACOES;4789004;ROSINHA SAMPAIO ,1098 C - JARDIM GUANABARA ,FORTALEZA - CE;14736;-3.7248182;-38.5953264;Zona_346;pet racoes shop
129;53603842;DA PROJETOS E CONSULTORIA;7112000;DOUTOR GILBERTO STUDART ,55 - COCO ,FORTALEZA - CE;7064;-3.7413961;-38.4873288;Zona_154;engenharia servicos consultoria
130;44522314;ELMAR RIBEIRO SERVICOS MEDICOS;8630503;DOUTOR HERMES LIMA ,45 - EDSON QUEIROZ ,FORTALEZA - CE;5487;-3.75736425;-38.48274508308472;Zona_238;servicos medicos clinica
131;26009777;WJ ASSESSORIA E CORRETORA;6622300;TENENTE BOTELHO ,415 - MONDUBIM ,FORTALEZA - CE;14069;-3.814201;-38.5615654;Zona_248;seguros corretora saude
132;45162651;JAV CONSTRUCOES;4120400;CORONEL JUCA ,509 - ALDEOTA ,FORTALEZA - CE;2817;-3.7369872;-38.4907507;Zona_68;construcoes engenharia construtora
133;38905529;FORTAL SERVICE OUTSOURCING DE IMPRESSAO;4751201;ANTONIO MARTINS ,940 - RODOLFO TEOFILO ,FORTALEZA - CE;16027;-3.7514106;-38.5565799;Zona_312;informatica acessorios solucoes
134;41606397;M4 GESTAO PATRIMONIAL;6822600;PROFESSOR ISAIAS GOMES ,167 - EDSON QUEIROZ ,FORTALEZA - CE;13681;-3.7589476;-38.48073972511198;Zona_238;imoveis imobiliaria gestao
135;23106452;YUCCA GASTRONOMIA;5611201;FREI MANSUETO ,160 - MEIRELES ,FORTALEZA - CE;2477;-3.7260327;-38.48964097452142;Zona_347;restaurante pizzaria pizza
136;50377566;NOVA CASA UTILIDADES E CONSTRUCOES;4744099;DOUTOR PEDRO TELES ,41 - FATIMA ,FORTALEZA - CE;8280;-3.7469284;-38.5223206;Zona_158;construcao construcoes deposito
137;4642218;M & S ASSISTENCIA TECNICA;7490104;2 DE OUTUBRO ,23 - PARQUELANDIA ,FORTALEZA - CE;11613;-3.7357422;-38.55781889437285;Zona_54;negocios saude gestao
138;19812077;PITANGA FLOR;1412601;916 ,185 - CONJUNTO CEARA II ,FORTALEZA - CE;4204;-3.7764245;-38.6178615;Zona_110;confeccoes jeans moda
