CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
33797776;CIFEC;8211300;D (LOT. CENTRO SUL) ,81 - PARANGABA ,FORTALEZA - CE;112
34019008;MARYANNE SERVICE;8211300;DOM LUIS ,1200 - ALDEOTA ,FORTALEZA - CE;113
34128577;PC SERVICOS EM SAUDE;8211300;ATAULFO ALVES ,741 - JARDIM DAS OLIVEIRAS ,FORTALEZA - CE;114
30498546;VITORIA COWORKING;8211300;PERO COELHO ,196 - CENTRO ,FORTALEZA - CE;115
34391980;AGILE COWORKING;8211300;VINTE E CINCO DE MARCO ,313 - CENTRO ,FORTALEZA - CE;116
34479747;JDS CONSULTORIA;8211300;SANTOS DUMONT ,304 - CENTRO ,FORTALEZA - CE;117
34176729;IMAGINI - MENTORIAE TREINAMENTOS;8211300;BARBOSA DE FREITAS ,1741 - ALDEOTA ,FORTALEZA - CE;118
34669381;F G M RIBEIRO QUIMICA INDUSTRIAL;8211300;PROFESSOR CASTELO ,581 - PARQUE ARAXA ,FORTALEZA - CE;119
34989031;R J SERVICOS;8211300;TIBURCIO RODRIGUES ,317 - SAO JOAO DO TAUAPE ,FORTALEZA - CE;120
35136950;IR COWORKING;8211300;HERMINIO DE CASTRO ,346 - PARQUE MANIBURA ,FORTALEZA - CE;121
35180415;INOVAR COWORKING;8211300;HEROIS DO ACRE ,172 - PASSARE ,FORTALEZA - CE;122
35394855;VERCOSA SERVICOS;8211300;JOSE VILAR ,3120 - DIONISIO TORRES ,FORTALEZA - CE;123
35506341;AMR ADM E LOG;8211300;ELVIRA PINHO ,288 - MONTESE ,FORTALEZA - CE;124
35814879;CAMPELO COSTA SERVICOS ADMINISTRATIVOS;8211300;SANTOS DUMONT ,1510 - ALDEOTA ,FORTALEZA - CE;125
36146916;LETS COWORKING;8211300;FREI CIRILO ,4597 - MESSEJANA ,FORTALEZA - CE;126
36314479;SLAV SERVICOS;8211300;BENJAMIN MOURA ,280 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;127
36388837;EASY SERVICE LOGISTICS;8211300;DOM LUIS ,880 - ALDEOTA ,FORTALEZA - CE;128
36462370;GUSTAVO CONSULTORIA;8211300;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;129
36507958;CRUX SAA - SERVICOS DE APOIO ADMINISTRATIVO;8211300;DOM LUIS ,880 - ALDEOTA ,FORTALEZA - CE;130
36655613;G & F SERVICOS ADMINISTRATIVOS;8211300;M (CONJ. JOAO PAULO II) ,1953 - BARROSO ,FORTALEZA - CE;131
36692982;REALE PARTICIPACOES;8211300;SARGENTO HERMINIO SAMPAIO ,3920 - PRESIDENTE KENNEDY ,FORTALEZA - CE;132
36755936;NUTS TRADE;8211300;PADRE ANTONIO TOMAS ,2080 - ALDEOTA ,FORTALEZA - CE;133
36769544;CCP CONSULTORIA E PARTICIPACAO;8211300;ANTONIO SALES ,1317 - JOAQUIM TAVORA ,FORTALEZA - CE;134
36884044;DS CONSULTING;8211300;OLIVEIRA PAIVA ,1600 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;135
36957205;ADMCOND SOLUCOES EM GESTAO;8211300;JOAO CORDEIRO ,3069 - JOAQUIM TAVORA ,FORTALEZA - CE;136
