CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
32762423;FRANCESINHA SALAO E COSMETICOS;9602501;62 (CONJ. RESID. PREF. JOSE WALTER) ,90 - PREFEITO JOSE WALTER ,FORTALEZA - CE;10234
36882780;JJ BARROS CABELEIREIROS;9602501;B (LOT RES NOVO PASSARE) ,671 - PASSARE ,FORTALEZA - CE;10240
7898482;ESPACO BELISSIMA;9602501;12 (CONJ. HAB. RESID. MARTIM SOARES MORENO) ,200 - SERRINHA ,FORTALEZA - CE;10273
17732822;MULHER ABSOLUTA;9602501;G ,673 - PREF JOSE VALTER ,FORTALEZA - CE;10282
16729464;VANESSA ANDRADE SALAO DE BELEZA;9602501;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;10295
26396345;SUELEN CRISTINA;9602501;RANIELE ,16 - BARRA DO CEARA ,FORTALEZA - CE;10301
26510113;DIMY CLARK BARBEIRO;9602501;DOM LUIS - LADO IMPAR ,609 - MEIRELES ,FORTALEZA - CE;10303
28687583;TAINA CRISTINA HAIR;9602501;206 CJ SAO CRISTOVAO ,1051 - JANGURUSSU ,FORTALEZA - CE;10305
28796889;DONA ESMALTE ESMALTERIA;9602501;MILTON BARBOSA DE SOUSA ,70 - PARANGABA ,FORTALEZA - CE;10306
29783517;EDNA FASHION HAIR;9602501;D (CJ BARROSO II) ,230 - PASSARE ,FORTALEZA - CE;10307
33789588;ROMANA PENTEADOS;9602501;GONCALVES LEDO - DE 37/38 A 1699/1700 ,387 - CENTRO ,FORTALEZA - CE;10312
49556422;CIA DE BELEZA;9602501;FRANCISCO GLICERIO ,327 - JARDIM CEARENSE ,FORTALEZA - CE;10333
53108730;ROSA MARIA STUDIO DE BELEZA;9602501;TIBURCIO CAVALCANTI ,2345 - DIONISIO TORRES ,FORTALEZA - CE;10337
7720028;IGREJA PRIMITIVA PENTECOSTAL;9491000;CIDADE PALHANO ,265 - JARDIM GUANABARA ,FORTALEZA - CE;10341
7697674;ICBD;9491000;DONA MEDINA ,291 - COLONIA ,FORTALEZA - CE;10344
6900449;ASSEMBLEIA DE DEUS MINIST MADUREIRA RESID MARCOS FREIRE;9491000;B ,300 - RES MARCOS FREIRE ,FORTALEZA - CE;10346
7939271;ASSEDEMIB;9491000;12 DE JUNHO ,1032 - PARQUE JERUSALEM ,FORTALEZA - CE;10350
7210925;PAROQUIA DE NOSSA SENHORA DO CARMO;9491000;PR DO CARMO ,S/N - CENTRO ,FORTALEZA - CE;10351
62955505;CRUZADA NACIONAL DE EVANGELIZACAO;9491000;GABRIEL FIUZA ,310 - VILA PERY ,FORTALEZA - CE;10352
113233;CASA DA BENCAO DE DEUS;9491000;MARANAU ,68 - MONTESE ,FORTALEZA - CE;10353
8739409;**********;9491000;LUZIA PEREIRA DA COSTA ,512 - PLANALTO VITORIA ,FORTALEZA - CE;10359
41409707;IGREJA BATISTA VALE DE BENCAO;9491000;PADRE CICERO ,329 - PORANGABUSSU ,FORTALEZA - CE;10363
9195856;GRUPO ESPIRITA O CONSOLADOR;9491000;ARAGUAIA ,1761 - PLANALTO AYRTON SENA ,FORTALEZA - CE;10364
9437657;IEPMDF;9491000;DAS VIRGENS ,37 - MONTE CASTELO ,FORTALEZA - CE;10365
9439038;IGREJA BATISTA CENTRAL AGAPE;9491000;G ,91 - CONJUNTO JOSE WALTER ,FORTALEZA - CE;10366
97519654;IGREJA CRISTA MANANCIAL DA GRACA;9491000;JOAQUIM FRANKILN ,500 - ANTONIO BEZERRA ,FORTALEZA - CE;10375
12360731;GEPE MESSEJANA;9491000;OLIMPIO LEITE ,553 - MESSEJANA ,FORTALEZA - CE;10386
22220443;VINHA DE LUZ;9491000;CONTANEIDE ,233 - EDSON QUEIROZ ,FORTALEZA - CE;10398
22268549;A ASSEMBLEIA DE DEUS PENTECOSTE MINISTERIO IRMAO ANTONI;9491000;MARIA MARQUES ,3255 - JANGURUSSU ,FORTALEZA - CE;10399
